relative_path,uploaded_filename,role,sha256
01_MVP_FinalReviewed/Coder01_Phase1_AB_MP_UCR_Raw.xlsx,Coder01_PurrStone_v10_2_Phase1_Coding_Workbook(4).xlsx,independent coder return,d3ad051f7a97db21f2ff20eda5e251ddc0f237d638259557b355ab92bee7ca48
01_MVP_FinalReviewed/Coder02_Phase1_AB_MP_UCR_Raw.xlsx,Coder02_PurrStone_v10_2_Phase1_Coding_Workbook(4).xlsx,independent coder return,efb1b3b6293873e288d8ecd79fa31448c97dfe6b13875c42f5dca85150d7ecec
01_MVP_FinalReviewed/Coder01_UCR_Phase2_Raw.xlsx,Coder01_PurrStone_v10_2_UCR_Phase2_Coding_Workbook(2).xlsx,independent coder return,8f0b7ab32efd17a3b8ef286b1341a42de60103664255404ef2993701ede94f05
01_MVP_FinalReviewed/Coder02_UCR_Phase2_Raw.xlsx,Coder02_PurrStone_v10_2_UCR_Phase2_Coding_Workbook(2).xlsx,independent coder return,b4184cb99ccd9957ecddf5edd99a4aaa9dfc2f0ea12bdeed3ea1cf375ad1f042
01_MVP_FinalReviewed/UCR_Phase2_Audit_PreResolution.xlsx,PurrStone_v10_2_UCR_Phase2_Return_Audit_PENDING_RESOLUTION(1).xlsx,administrator pre-resolution audit,9ad31e640d70c9a5c0b8f95558e2ae75144c2099f6835e83de6038c3fe8b8a8b
01_MVP_FinalReviewed/UCR_Phase2_Disagreement_Resolution.xlsx,PurrStone_v10_2_UCR_Phase2_One_Disagreement_Resolution(3).xlsx,joint resolution record,57276f7e424998e1428afdd92d95a71f0a8e4650fa29f2a1055e12768a07b3a1
02_MatchedDraft_BaselineSupplement/Coder01_MP_UCR_Phase1_Raw.xlsx,Coder01_PurrStone_v10.2_MP_UCR_Phase1(2).xlsx,independent coder return,675c4f4fc1a4d178acfb95c9b07bbf128c9c956e1bd9414c148dbfa5005f1cc7
02_MatchedDraft_BaselineSupplement/Coder02_MP_UCR_Phase1_Raw.xlsx,Coder02_PurrStone_v10.2_MP_UCR_Phase1(2).xlsx,independent coder return,679e6513e5e7baab98eacbb2569980c4a2631ad854de9db114483dd19d33d10c
02_MatchedDraft_BaselineSupplement/UCR_Phase1_Reconciliation_Raw.xlsx,PurrStone_v10.2_UCR_Phase1_Reconciliation(3).xlsx,administrator reconciliation original,76069cd2d280c06beeae68dcbd815c4155bedfe121fe496e96cb16a63adf67d7
02_MatchedDraft_BaselineSupplement/Coder01_UCR_Phase2_Raw.xlsx,Coder01_PurrStone_v10.2_UCR_Phase2(2).xlsx,independent coder return,ac18514530abeae649d3f4bc46c00eb9fe45888ff29b3dea1e547123023a6976
02_MatchedDraft_BaselineSupplement/Coder02_UCR_Phase2_Raw.xlsx,Coder02_PurrStone_v10.2_UCR_Phase2(2).xlsx,independent coder return,c5aaf7ecd894aea69ab975152c3421545569debcb06c83f44b6bc19195114dad
