run_id,condition,scenario_id,repetition,pair_key,run_type,formal_run,execution_status,run_status,started_at,completed_at,code_commit,model_id,protocol_snapshot_sha256,consent_notice_version,consent_snapshot_sha256,consent_confirmed_at,scenario_sha256,metric_rules_sha256,scenario_instance_sha256,runner_record_path,runner_record_sha256,raw_model_call_count,scenario_step_count,digest_item_count,review_event_count,validator_result_count,selected_validator_result_path,selected_validator_result_sha256,validator_matches_runner,validation_status,formal_evidence_eligible,evidence_record_status,evidence_record_path,evidence_record_sha256,error_type,error_message
baseline-s1-r01-20260809T044234949628Z-ef0f7b4b,prompt_only_baseline,S1,1,S1-R01,formal,true,completed,completed,2026-08-09T04:42:34.950683+00:00,2026-08-09T04:42:49.768340+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,purrstone-ai-transparency-v1,260f2cb2b1520de50de13a785b452af28078ccf1d2f5cc75a753d19ef9f8fb50,2026-08-09T04:42:35.069263+00:00,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,76709693b2234312886e3189f8e737754a91f68c914e2bfa2304fe1f8b75d700,raw/runs/baseline-s1-r01-20260809T044234949628Z-ef0f7b4b/runner_record.json,ce76ef1282b08fa5f7feb4388fb562257054901385a4d345598cb1c5541a472c,6,7,5,0,1,raw/runs/baseline-s1-r01-20260809T044234949628Z-ef0f7b4b/validation/validator-20260809T044249790875Z-3d15b462/validator_result.json,719558884ba25f60ac6da52a0082bb5987504988b378d647c92773fc2f9f2f87,true,PASS,true,copied,evidence_records/baseline-s1-r01-20260809T044234949628Z-ef0f7b4b.html,812c29a229b26ea2b3751a2aea83f13d3b442bab84423c3a3585e45957a4b95c,,
baseline-s1-r02-20260809T044305579495Z-d5c9e638,prompt_only_baseline,S1,2,S1-R02,formal,true,execution_error,execution_error,2026-08-09T04:43:05.580620+00:00,2026-08-09T04:43:15.636205+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,,,,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,76709693b2234312886e3189f8e737754a91f68c914e2bfa2304fe1f8b75d700,raw/runs/baseline-s1-r02-20260809T044305579495Z-d5c9e638/runner_record.json,aae921e3b86ddda8becf1d572e96eef11b790d8b05df5b66a2b68e7e9f97b5f1,4,4,0,0,1,raw/runs/baseline-s1-r02-20260809T044305579495Z-d5c9e638/validation/validator-20260809T044315649997Z-12eb2b50/validator_result.json,26ddbfd7c8dfb39e2d2b5ead843507218f2ba2158c3ca5f203f9d53afb56f78c,true,FAIL,false,not_recorded,,,BaselineParseError,Covered output must advance and must not report missing information.
baseline-s1-r03-20260809T044329454524Z-e2ffb48f,prompt_only_baseline,S1,3,S1-R03,formal,true,completed,completed,2026-08-09T04:43:29.455783+00:00,2026-08-09T04:43:45.546215+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,purrstone-ai-transparency-v1,260f2cb2b1520de50de13a785b452af28078ccf1d2f5cc75a753d19ef9f8fb50,2026-08-09T04:43:29.596168+00:00,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,76709693b2234312886e3189f8e737754a91f68c914e2bfa2304fe1f8b75d700,raw/runs/baseline-s1-r03-20260809T044329454524Z-e2ffb48f/runner_record.json,808ab3ed1832c52b30c3ffaf26721f58931d3849c632a7d960f288fcd6938151,6,7,5,0,1,raw/runs/baseline-s1-r03-20260809T044329454524Z-e2ffb48f/validation/validator-20260809T044345570132Z-b8d3125f/validator_result.json,5fa320dc1a5a331b99c88da53a71a995525211d5cfb9089f36d1f775d4a92b20,true,PASS,true,copied,evidence_records/baseline-s1-r03-20260809T044329454524Z-e2ffb48f.html,9eb4d27c012ec20b9d710252a8fad9a8642630e95b0c827fee23587c4e3ba4f9,,
baseline-s2-r01-20260809T044402351202Z-30daf9e4,prompt_only_baseline,S2,1,S2-R01,formal,true,completed,completed,2026-08-09T04:44:02.352098+00:00,2026-08-09T04:44:22.597609+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,purrstone-ai-transparency-v1,260f2cb2b1520de50de13a785b452af28078ccf1d2f5cc75a753d19ef9f8fb50,2026-08-09T04:44:02.469036+00:00,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,7047cba04fac438dd854b0c5c7ab9b6bb61123cce050809dda28cc752ab60aef,raw/runs/baseline-s2-r01-20260809T044402351202Z-30daf9e4/runner_record.json,13197523ba562f6f12776e9aff68609319cc56529f29610360ac1411ea7e29eb,7,8,5,0,1,raw/runs/baseline-s2-r01-20260809T044402351202Z-30daf9e4/validation/validator-20260809T044422623487Z-7d9de4e4/validator_result.json,d2fca2425aa59657100fc219c0710c0b3361656cc1d34b9f64ebe2dbcb4d1705,true,PASS,true,copied,evidence_records/baseline-s2-r01-20260809T044402351202Z-30daf9e4.html,e76fe4f0deaee05ee83f5cdb32f42775f6aba9502fa82352333f940c20fba7d8,,
baseline-s2-r02-20260809T044439101928Z-e1dc6bd9,prompt_only_baseline,S2,2,S2-R02,formal,true,completed,completed,2026-08-09T04:44:39.102957+00:00,2026-08-09T04:44:59.048985+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,purrstone-ai-transparency-v1,260f2cb2b1520de50de13a785b452af28078ccf1d2f5cc75a753d19ef9f8fb50,2026-08-09T04:44:39.235805+00:00,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,7047cba04fac438dd854b0c5c7ab9b6bb61123cce050809dda28cc752ab60aef,raw/runs/baseline-s2-r02-20260809T044439101928Z-e1dc6bd9/runner_record.json,7705ebe578377472d2620006add3da9dc29bd3dafd550bbe691e688c1e66f6e6,7,8,5,0,1,raw/runs/baseline-s2-r02-20260809T044439101928Z-e1dc6bd9/validation/validator-20260809T044459073060Z-8716f972/validator_result.json,0e7568907207162b4408ee8d476cd0fb65a10d07515b598772b005841e57ee0f,true,PASS,true,copied,evidence_records/baseline-s2-r02-20260809T044439101928Z-e1dc6bd9.html,becca29790a35095bdd0cad94f199ea1b85fe00e9da04f8c34e8d0b242f19e7e,,
baseline-s2-r03-20260809T044519502604Z-a35f5e71,prompt_only_baseline,S2,3,S2-R03,formal,true,execution_error,execution_error,2026-08-09T04:45:19.503694+00:00,2026-08-09T04:45:32.235186+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,,,,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,7047cba04fac438dd854b0c5c7ab9b6bb61123cce050809dda28cc752ab60aef,raw/runs/baseline-s2-r03-20260809T044519502604Z-a35f5e71/runner_record.json,2268326414ef72d752183069be040cc179d00fb4db7d68fea5d8c2bef9840dc6,5,5,0,0,1,raw/runs/baseline-s2-r03-20260809T044519502604Z-a35f5e71/validation/validator-20260809T044532253180Z-64b3beaa/validator_result.json,3f585d10517d738c32a20bed171373e3ab068c9f82aa80b97ba7b1a7a6dac9f0,true,FAIL,false,not_recorded,,,BaselineParseError,Covered output must advance and must not report missing information.
baseline-s3-r01-20260809T044550535264Z-2101aa13,prompt_only_baseline,S3,1,S3-R01,formal,true,completed,completed,2026-08-09T04:45:50.536339+00:00,2026-08-09T04:46:10.265638+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,purrstone-ai-transparency-v1,260f2cb2b1520de50de13a785b452af28078ccf1d2f5cc75a753d19ef9f8fb50,2026-08-09T04:45:50.678141+00:00,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,cc14f2845b9cb42ef4efce6248649eebbc74640c841fdbe2604437560e8a287e,raw/runs/baseline-s3-r01-20260809T044550535264Z-2101aa13/runner_record.json,b9605c870d7629bc42d465f12b3430e4d4ab552bb539359cececa3d8ddd05381,7,8,5,0,1,raw/runs/baseline-s3-r01-20260809T044550535264Z-2101aa13/validation/validator-20260809T044610289954Z-e3822fea/validator_result.json,40ccfe9203f19c03b34cc6d557ef227a8a9f357b530b9d948fd9a0c9fd0f0dee,true,PASS,true,copied,evidence_records/baseline-s3-r01-20260809T044550535264Z-2101aa13.html,37673b85e5ddd6e3be9f40d948cbda02c926304bda94afd29d35568f9eb7ec4f,,
baseline-s3-r02-20260809T044626088142Z-d75aa8e0,prompt_only_baseline,S3,2,S3-R02,formal,true,execution_error,execution_error,2026-08-09T04:46:26.089254+00:00,2026-08-09T04:46:44.536694+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,,,,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,cc14f2845b9cb42ef4efce6248649eebbc74640c841fdbe2604437560e8a287e,raw/runs/baseline-s3-r02-20260809T044626088142Z-d75aa8e0/runner_record.json,8d3a66d53e4b850f57cdce694563f1d7d2eaad8bf708e078eaab072a31805f49,7,8,0,0,1,raw/runs/baseline-s3-r02-20260809T044626088142Z-d75aa8e0/validation/validator-20260809T044644558980Z-1a02c1db/validator_result.json,a49e93e35626ee306c05b1d06512247840663557b34b7fac9645502e61440593,true,FAIL,false,not_recorded,,,BaselineExecutionError,Evidence Record returned HTTP 404; expected [200].
baseline-s3-r03-20260809T044702095354Z-87f589cd,prompt_only_baseline,S3,3,S3-R03,formal,true,completed,completed,2026-08-09T04:47:02.096507+00:00,2026-08-09T04:47:21.002241+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,purrstone-ai-transparency-v1,260f2cb2b1520de50de13a785b452af28078ccf1d2f5cc75a753d19ef9f8fb50,2026-08-09T04:47:02.245698+00:00,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,cc14f2845b9cb42ef4efce6248649eebbc74640c841fdbe2604437560e8a287e,raw/runs/baseline-s3-r03-20260809T044702095354Z-87f589cd/runner_record.json,8b8384027add53d3da9a7f7278d821ded3805666b4fdbe98dc02332ae9fe313f,7,8,5,0,1,raw/runs/baseline-s3-r03-20260809T044702095354Z-87f589cd/validation/validator-20260809T044721024755Z-6067d95d/validator_result.json,965978dab2857a67c99a3bee6c3466a039fb555ea1b17a5a1952fadf8b8019e5,true,PASS,true,copied,evidence_records/baseline-s3-r03-20260809T044702095354Z-87f589cd.html,406fcc066f78e5ea6516b9bd9767ae700b9ff9f69289f1cc43068e9890615877,,
baseline-s4-r01-20260809T044731999786Z-7df64640,prompt_only_baseline,S4,1,S4-R01,formal,true,completed,completed,2026-08-09T04:47:32.000988+00:00,2026-08-09T04:47:47.060825+00:00,35c930d92119d47560879496902e928daf20ac02,gpt-4.1-mini,da5043474ebbf09a57b0901fc984bb76619b96893981fa3122e081033b8c173a,purrstone-ai-transparency-v1,260f2cb2b1520de50de13a785b452af28078ccf1d2f5cc75a753d19ef9f8fb50,2026-08-09T04:47:32.136610+00:00,5df43fb632051c6921e98bc5c79feca759a79315abccf79e0472a8715063b2b6,fa65a4b0261ebcf714e9374eee814f19892608bff1bd7275a92e4029d56542b4,68f2dd6436892bd6daaea1a73c8bb1cb3a36b393a4a9eaa1c013ff1a164a8160,raw/runs/baseline-s4-r01-20260809T044731999786Z-7df64640/runner_record.json,c1c07acd34ab8eb00ad68ed4ec816a8289d294fbe7e0dd872199788bf31f2906,6,7,5,0,1,raw/runs/baseline-s4-r01-20260809T044731999786Z-7df64640/validation/validator-20260809T044747086211Z-affe732e/validator_result.json,a86995535d33e712afc4cdd7a075897f0d0af49e7fbbbe42bf258e5ed5889c09,true,PASS,true,copied,evidence_records/baseline-s4-r01-20260809T044731999786Z-7df64640.html,67feddca57cf002253acf3d695eaf2a2595146eae733564a83fd7802406f03fe,,
